state,year,state_tax,local_tax,standard_tax
Alabama,2005,4.0,2.15,6.15
Alaska,2005,0.0,1.13,1.13
Arizona,2005,5.599999904632568,2.32,7.919999904632569
Arkansas,2005,6.0,1.79,7.79
California,2005,7.25,0.81,8.06
Colorado,2005,2.9000000953674316,4.34,7.2400000953674315
Connecticut,2005,6.0,0.0,6.0
Delaware,2005,0.0,0.0,0.0
Florida,2005,6.0,1.01,7.01
Georgia,2005,4.0,3.02,7.02
Hawaii,2005,4.0,0.38,4.38
Idaho,2005,6.0,0.0,6.0
Illinois,2005,6.25,2.15,8.4
Indiana,2005,6.0,0.0,6.0
Iowa,2005,5.0,0.94,5.9399999999999995
Kansas,2005,5.300000190734863,1.65,6.950000190734864
Kentucky,2005,6.0,0.0,6.0
Louisiana,2005,4.0,4.43,8.43
Maine,2005,5.0,0.0,5.0
Maryland,2005,5.0,0.0,5.0
Massachusetts,2005,5.0,0.0,5.0
Michigan,2005,6.0,0.0,6.0
Minnesota,2005,6.5,0.34,6.84
Mississippi,2005,7.0,0.0,7.0
Missouri,2005,4.224999904632568,2.95,7.1749999046325685
Montana,2005,0.0,0.0,0.0
Nebraska,2005,5.5,1.01,6.51
Nevada,2005,6.5,0.74,7.24
New Hampshire,2005,0.0,0.0,0.0
New Jersey,2005,6.0,0.0,6.0
New Mexico,2005,5.0,1.4,6.4
New York,2005,4.25,4.3,8.55
North Carolina,2005,4.5,2.32,6.82
North Dakota,2005,5.0,1.0,6.0
Ohio,2005,6.0,1.33,7.33
Oklahoma,2005,4.5,3.94,8.44
Oregon,2005,0.0,0.0,0.0
Pennsylvania,2005,6.0,0.22,6.22
Rhode Island,2005,7.0,0.0,7.0
South Carolina,2005,5.0,1.04,6.04
South Dakota,2005,4.0,1.52,5.52
Tennessee,2005,7.0,2.41,9.41
Texas,2005,6.25,1.14,7.39
Utah,2005,4.75,0.66,5.41
Vermont,2005,6.0,0.0,6.0
Virginia,2005,5.0,0.0,5.0
Washington,2005,6.5,2.28,8.78
West Virginia,2005,6.0,0.0,6.0
Wisconsin,2005,5.0,0.42,5.42
Wyoming,2005,4.0,1.38,5.38
District of Columbia,2005,5.75,0.0,5.75
Alabama,2006,4.0,2.15,6.15
Alaska,2006,0.0,1.13,1.13
Arizona,2006,5.599999904632568,2.32,7.919999904632569
Arkansas,2006,6.0,1.79,7.79
California,2006,7.25,0.81,8.06
Colorado,2006,2.9000000953674316,4.34,7.2400000953674315
Connecticut,2006,6.0,0.0,6.0
Delaware,2006,0.0,0.0,0.0
Florida,2006,6.0,1.01,7.01
Georgia,2006,4.0,3.02,7.02
Hawaii,2006,4.0,0.38,4.38
Idaho,2006,5.0,0.0,5.0
Illinois,2006,6.25,2.15,8.4
Indiana,2006,6.0,0.0,6.0
Iowa,2006,5.0,0.94,5.9399999999999995
Kansas,2006,5.300000190734863,1.65,6.950000190734864
Kentucky,2006,6.0,0.0,6.0
Louisiana,2006,4.0,4.43,8.43
Maine,2006,5.0,0.0,5.0
Maryland,2006,5.0,0.0,5.0
Massachusetts,2006,5.0,0.0,5.0
Michigan,2006,6.0,0.0,6.0
Minnesota,2006,6.5,0.34,6.84
Mississippi,2006,7.0,0.0,7.0
Missouri,2006,4.224999904632568,2.95,7.1749999046325685
Montana,2006,0.0,0.0,0.0
Nebraska,2006,5.5,1.01,6.51
Nevada,2006,6.5,0.74,7.24
New Hampshire,2006,0.0,0.0,0.0
New Jersey,2006,6.0,0.0,6.0
New Mexico,2006,5.0,1.4,6.4
New York,2006,4.0,4.3,8.3
North Carolina,2006,4.5,2.32,6.82
North Dakota,2006,5.0,1.0,6.0
Ohio,2006,5.5,1.33,6.83
Oklahoma,2006,4.5,3.94,8.44
Oregon,2006,0.0,0.0,0.0
Pennsylvania,2006,6.0,0.22,6.22
Rhode Island,2006,7.0,0.0,7.0
South Carolina,2006,5.0,1.04,6.04
South Dakota,2006,4.0,1.52,5.52
Tennessee,2006,7.0,2.41,9.41
Texas,2006,6.25,1.14,7.39
Utah,2006,4.75,0.66,5.41
Vermont,2006,6.0,0.0,6.0
Virginia,2006,5.0,0.0,5.0
Washington,2006,6.5,2.28,8.78
West Virginia,2006,6.0,0.0,6.0
Wisconsin,2006,5.0,0.42,5.42
Wyoming,2006,4.0,1.38,5.38
District of Columbia,2006,5.75,0.0,5.75
Alabama,2010,4.0,4.03,8.030000000000001
Alaska,2010,0.0,1.11,1.11
Arizona,2010,5.6,2.41,8.01
Arkansas,2010,6.0,2.1,8.1
California,2010,8.25,0.83,9.08
Colorado,2010,2.9,4.07,6.970000000000001
Connecticut,2010,6.0,0.0,6.0
Delaware,2010,0.0,0.0,0.0
District of Columbia,2010,6.0,0.0,6.0
Florida,2010,6.0,0.98,6.98
Georgia,2010,4.0,2.95,6.95
Hawaii,2010,4.0,0.35,4.35
Idaho,2010,6.0,0.03,6.03
Illinois,2010,6.25,1.97,8.22
Indiana,2010,7.0,0.0,7.0
Iowa,2010,6.0,1.0,7.0
Kansas,2010,5.3,1.65,6.949999999999999
Kentucky,2010,6.0,0.0,6.0
Louisiana,2010,4.0,4.69,8.690000000000001
Maine,2010,5.0,0.0,5.0
Maryland,2010,6.0,0.0,6.0
Massachusetts,2010,6.25,0.0,6.25
Michigan,2010,6.0,0.0,6.0
Minnesota,2010,6.875,0.26,7.135
Mississippi,2010,7.0,0.0,7.0
Missouri,2010,4.225,3.23,7.455
Montana,2010,0.0,0.0,0.0
Nebraska,2010,5.5,0.89,6.39
Nevada,2010,6.85,1.11,7.96
New Hampshire,2010,0.0,0.0,0.0
New Jersey,2010,7.0,0.0,7.0
New Mexico,2010,5.0,2.01,7.01
New York,2010,4.0,4.52,8.52
North Carolina,2010,5.75,2.07,7.82
North Dakota,2010,5.0,0.87,5.87
Ohio,2010,5.5,1.28,6.78
Oklahoma,2010,4.5,3.83,8.33
Oregon,2010,0.0,0.0,0.0
Pennsylvania,2010,6.0,0.33,6.33
Rhode Island,2010,7.0,0.0,7.0
South Carolina,2010,6.0,1.26,7.26
South Dakota,2010,4.0,1.22,5.22
Tennessee,2010,7.0,2.44,9.44
Texas,2010,6.25,1.36,7.61
Utah,2010,4.7,0.63,5.33
Vermont,2010,6.0,0.0,6.0
Virginia,2010,5.0,0.0,5.0
Washington,2010,6.5,2.11,8.61
West Virginia,2010,6.0,0.0,6.0
Wisconsin,2010,5.0,0.42,5.42
Wyoming,2010,4.0,1.17,5.17
Alabama,2011,4.0,4.03,8.030000000000001
Alaska,2011,0.0,1.12,1.12
Arizona,2011,6.6,2.41,9.01
Arkansas,2011,6.0,2.1,8.1
California,2011,8.25,0.83,9.08
Colorado,2011,2.9,4.08,6.98
Connecticut,2011,6.0,0.0,6.0
Delaware,2011,0.0,0.0,0.0
District of Columbia,2011,6.0,0.0,6.0
Florida,2011,6.0,0.99,6.99
Georgia,2011,4.0,2.95,6.95
Hawaii,2011,4.0,0.35,4.35
Idaho,2011,6.0,0.03,6.03
Illinois,2011,6.25,1.97,8.22
Indiana,2011,7.0,0.0,7.0
Iowa,2011,6.0,0.84,6.84
Kansas,2011,6.3,1.65,7.949999999999999
Kentucky,2011,6.0,0.0,6.0
Louisiana,2011,4.0,4.69,8.690000000000001
Maine,2011,5.0,0.0,5.0
Maryland,2011,6.0,0.0,6.0
Massachusetts,2011,6.25,0.0,6.25
Michigan,2011,6.0,0.0,6.0
Minnesota,2011,6.875,0.27,7.145
Mississippi,2011,7.0,0.0,7.0
Missouri,2011,4.225,3.24,7.465
Montana,2011,0.0,0.0,0.0
Nebraska,2011,5.5,0.89,6.39
Nevada,2011,6.85,1.11,7.96
New Hampshire,2011,0.0,0.0,0.0
New Jersey,2011,7.0,0.0,7.0
New Mexico,2011,5.125,2.01,7.135
New York,2011,4.0,4.52,8.52
North Carolina,2011,5.75,2.07,7.82
North Dakota,2011,5.0,0.57,5.57
Ohio,2011,5.5,1.28,6.78
Oklahoma,2011,4.5,3.83,8.33
Oregon,2011,0.0,0.0,0.0
Pennsylvania,2011,6.0,0.34,6.34
Rhode Island,2011,7.0,0.0,7.0
South Carolina,2011,6.0,1.25,7.25
South Dakota,2011,4.0,1.22,5.22
Tennessee,2011,7.0,2.44,9.44
Texas,2011,6.25,1.36,7.61
Utah,2011,5.95,0.67,6.62
Vermont,2011,6.0,0.0,6.0
Virginia,2011,5.0,0.0,5.0
Washington,2011,6.5,2.14,8.64
West Virginia,2011,6.0,0.0,6.0
Wisconsin,2011,5.0,0.42,5.42
Wyoming,2011,4.0,1.3,5.3
Alabama,2015,4.0,4.91,8.91
Alaska,2015,0.0,1.76,1.76
Arizona,2015,5.6,2.57,8.17
Arkansas,2015,6.5,2.76,9.26
California,2015,7.5,0.94,8.44
Colorado,2015,2.9,4.54,7.4399999999999995
Connecticut,2015,6.35,0.0,6.35
Delaware,2015,0.0,0.0,0.0
District of Columbia,2015,5.75,0.0,5.75
Florida,2015,6.0,0.65,6.65
Georgia,2015,4.0,2.96,6.96
Hawaii,2015,4.0,0.35,4.35
Idaho,2015,6.0,0.01,6.01
Illinois,2015,6.25,1.94,8.19
Indiana,2015,7.0,0.0,7.0
Iowa,2015,6.0,0.78,6.78
Kansas,2015,6.15,2.05,8.2
Kentucky,2015,6.0,0.0,6.0
Louisiana,2015,4.0,4.91,8.91
Maine,2015,5.5,0.0,5.5
Maryland,2015,6.0,0.0,6.0
Massachusetts,2015,6.25,0.0,6.25
Michigan,2015,6.0,0.0,6.0
Minnesota,2015,6.875,0.33,7.205
Mississippi,2015,7.0,0.07,7.07
Missouri,2015,4.225,3.58,7.805
Montana,2015,0.0,0.0,0.0
Nebraska,2015,5.5,1.3,6.8
Nevada,2015,6.85,1.09,7.9399999999999995
New Hampshire,2015,0.0,0.0,0.0
New Jersey,2015,7.0,-0.03,6.97
New Mexico,2015,5.125,2.22,7.345000000000001
New York,2015,4.0,4.48,8.48
North Carolina,2015,4.75,2.15,6.9
North Dakota,2015,5.0,1.56,6.5600000000000005
Ohio,2015,5.75,1.35,7.1
Oklahoma,2015,4.5,4.27,8.77
Oregon,2015,0.0,0.0,0.0
Pennsylvania,2015,6.0,0.34,6.34
Rhode Island,2015,7.0,0.0,7.0
South Carolina,2015,6.0,1.13,7.13
South Dakota,2015,4.0,1.83,5.83
Tennessee,2015,7.0,2.45,9.45
Texas,2015,6.25,1.8,8.05
Utah,2015,5.95,0.73,6.68
Vermont,2015,6.0,0.14,6.14
Virginia,2015,5.3,0.33,5.63
Washington,2015,6.5,2.39,8.89
West Virginia,2015,6.0,0.07,6.07
Wisconsin,2015,5.0,0.43,5.43
Wyoming,2015,4.0,1.47,5.47
Alabama,2016,4.0,4.97,8.969999999999999
Alaska,2016,0.0,1.78,1.78
Arizona,2016,5.6,2.65,8.25
Arkansas,2016,6.5,2.8,9.3
California,2016,7.5,0.98,8.48
Colorado,2016,2.9,4.62,7.52
Connecticut,2016,6.35,0.0,6.35
Delaware,2016,0.0,0.0,0.0
District of Columbia,2016,5.75,0.0,5.75
Florida,2016,6.0,0.66,6.66
Georgia,2016,4.0,3.01,7.01
Hawaii,2016,4.0,0.35,4.35
Idaho,2016,6.0,0.03,6.03
Illinois,2016,6.25,2.39,8.64
Indiana,2016,7.0,0.0,7.0
Iowa,2016,6.0,0.79,6.79
Kansas,2016,6.5,2.1,8.6
Kentucky,2016,6.0,0.0,6.0
Louisiana,2016,4.0,5.0,9.0
Maine,2016,5.5,0.0,5.5
Maryland,2016,6.0,0.0,6.0
Massachusetts,2016,6.25,0.0,6.25
Michigan,2016,6.0,0.0,6.0
Minnesota,2016,6.875,0.39,7.265
Mississippi,2016,7.0,0.07,7.07
Missouri,2016,4.225,3.64,7.865
Montana,2016,0.0,0.0,0.0
Nebraska,2016,5.5,1.37,6.87
Nevada,2016,6.85,1.13,7.9799999999999995
New Hampshire,2016,0.0,0.0,0.0
New Jersey,2016,7.0,-0.03,6.97
New Mexico,2016,5.125,2.38,7.505
New York,2016,4.0,4.49,8.49
North Carolina,2016,4.75,2.15,6.9
North Dakota,2016,5.0,1.82,6.82
Ohio,2016,5.75,1.39,7.14
Oklahoma,2016,4.5,4.32,8.82
Oregon,2016,0.0,0.0,0.0
Pennsylvania,2016,6.0,0.34,6.34
Rhode Island,2016,7.0,0.0,7.0
South Carolina,2016,6.0,1.22,7.22
South Dakota,2016,4.0,1.84,5.84
Tennessee,2016,7.0,2.46,9.46
Texas,2016,6.25,1.92,8.17
Utah,2016,5.95,0.74,6.69
Vermont,2016,6.0,0.17,6.17
Virginia,2016,5.3,0.33,5.63
Washington,2016,6.5,2.39,8.89
West Virginia,2016,6.0,0.2,6.2
Wisconsin,2016,5.0,0.41,5.41
Wyoming,2016,4.0,1.42,5.42
